,year,rnd,type,team,tm_pts,opp_team,op_pts,venue,tm,op,hvar,lr,tm_var,outcome,state
100,1898,R10,reg_season,Collingwood,59,Melbourne,11,Victoria Park,CO,ME,48,1,48,W,VIC
101,1898,R10,reg_season,St Kilda,19,Fitzroy,67,Brunswick St,SK,FI,48,0,-48,L,VIC
101,1898,R10,reg_season,Fitzroy,67,St Kilda,19,Brunswick St,FI,SK,48,1,48,W,VIC
102,1898,R10,reg_season,Geelong,29,South Melbourne,9,Lake Oval,GE,SM,-20,0,20,W,VIC
102,1898,R10,reg_season,South Melbourne,9,Geelong,29,Lake Oval,SM,GE,-20,1,-20,L,VIC
103,1898,R11,reg_season,Carlton,32,Geelong,58,Corio Oval,CA,GE,26,0,-26,L,VIC
103,1898,R11,reg_season,Geelong,58,Carlton,32,Corio Oval,GE,CA,26,1,26,W,VIC
104,1898,R11,reg_season,Collingwood,73,South Melbourne,13,Victoria Park,CO,SM,60,1,60,W,VIC
104,1898,R11,reg_season,South Melbourne,13,Collingwood,73,Victoria Park,SM,CO,60,0,-60,L,VIC
105,1898,R11,reg_season,St Kilda,15,Essendon,71,Junction Oval,SK,ES,-56,1,-56,L,VIC
105,1898,R11,reg_season,Essendon,71,St Kilda,15,Junction Oval,ES,SK,-56,0,56,W,VIC
106,1898,R11,reg_season,Melbourne,33,Fitzroy,50,M.C.G.,ME,FI,-17,1,-17,L,VIC
106,1898,R11,reg_season,Fitzroy,50,Melbourne,33,M.C.G.,FI,ME,-17,0,17,W,VIC
107,1898,R12,reg_season,Carlton,10,Collingwood,29,Princes Park,CA,CO,-19,1,-19,L,VIC
107,1898,R12,reg_season,Collingwood,29,Carlton,10,Princes Park,CO,CA,-19,0,19,W,VIC
108,1898,R12,reg_season,Essendon,75,Melbourne,20,M.C.G.,ES,ME,-55,0,55,W,VIC
108,1898,R12,reg_season,Melbourne,20,Essendon,75,M.C.G.,ME,ES,-55,1,-55,L,VIC
109,1898,R12,reg_season,Fitzroy,39,Geelong,30,Brunswick St,FI,GE,9,1,9,W,VIC
109,1898,R12,reg_season,Geelong,30,Fitzroy,39,Brunswick St,GE,FI,9,0,-9,L,VIC
110,1898,R12,reg_season,St Kilda,24,South Melbourne,87,Lake Oval,SK,SM,63,0,-63,L,VIC
110,1898,R12,reg_season,South Melbourne,87,St Kilda,24,Lake Oval,SM,SK,63,1,63,W,VIC
111,1898,R13,reg_season,Fitzroy,54,Carlton,22,Princes Park,FI,CA,-32,0,32,W,VIC
111,1898,R13,reg_season,Carlton,22,Fitzroy,54,Princes Park,CA,FI,-32,1,-32,L,VIC
112,1898,R13,reg_season,Collingwood,65,St Kilda,6,Victoria Park,CO,SK,59,1,59,W,VIC
112,1898,R13,reg_season,St Kilda,6,Collingwood,65,Victoria Park,SK,CO,59,0,-59,L,VIC
113,1898,R13,reg_season,Geelong,37,Essendon,55,East Melbourne,GE,ES,18,0,-18,L,VIC
113,1898,R13,reg_season,Essendon,55,Geelong,37,East Melbourne,ES,GE,18,1,18,W,VIC
114,1898,R13,reg_season,South Melbourne,43,Melbourne,38,Lake Oval,SM,ME,5,1,5,W,VIC
114,1898,R13,reg_season,Melbourne,38,South Melbourne,43,Lake Oval,ME,SM,5,0,-5,L,VIC
115,1898,R14,reg_season,Carlton,69,St Kilda,55,Junction Oval,CA,SK,-14,0,14,W,VIC
115,1898,R14,reg_season,St Kilda,55,Carlton,69,Junction Oval,SK,CA,-14,1,-14,L,VIC
116,1898,R14,reg_season,Collingwood,56,Essendon,25,East Melbourne,CO,ES,-31,0,31,W,VIC
116,1898,R14,reg_season,Essendon,25,Collingwood,56,East Melbourne,ES,CO,-31,1,-31,L,VIC
117,1898,R14,reg_season,South Melbourne,10,Fitzroy,65,Brunswick St,SM,FI,55,0,-55,L,VIC
117,1898,R14,reg_season,Fitzroy,65,South Melbourne,10,Brunswick St,FI,SM,55,1,55,W,VIC
118,1898,R14,reg_season,Melbourne,19,Geelong,51,Corio Oval,ME,GE,32,0,-32,L,VIC
118,1898,R14,reg_season,Geelong,51,Melbourne,19,Corio Oval,GE,ME,32,1,32,W,VIC
119,1898,R15,reg_season,Carlton,8,Essendon,75,East Melbourne,CA,ES,67,0,-67,L,VIC
119,1898,R15,reg_season,Essendon,75,Carlton,8,East Melbourne,ES,CA,67,1,67,W,VIC
120,1898,R15,reg_season,Collingwood,103,St Kilda,27,Junction Oval,CO,SK,-76,0,76,W,VIC
120,1898,R15,reg_season,St Kilda,27,Collingwood,103,Junction Oval,SK,CO,-76,1,-76,L,VIC
121,1898,R15,reg_season,South Melbourne,33,Fitzroy,47,Lake Oval,SM,FI,-14,1,-14,L,VIC
121,1898,R15,reg_season,Fitzroy,47,South Melbourne,33,Lake Oval,FI,SM,-14,0,14,W,VIC
122,1898,R15,reg_season,Geelong,78,Melbourne,16,Corio Oval,GE,ME,62,1,62,W,VIC
122,1898,R15,reg_season,Melbourne,16,Geelong,78,Corio Oval,ME,GE,62,0,-62,L,VIC
123,1898,R16,reg_season,Carlton,7,Fitzroy,90,Brunswick St,CA,FI,83,0,-83,L,VIC
123,1898,R16,reg_season,Fitzroy,90,Carlton,7,Brunswick St,FI,CA,83,1,83,W,VIC
124,1898,R16,reg_season,Collingwood,45,Geelong,30,Victoria Park,CO,GE,15,1,15,W,VIC
124,1898,R16,reg_season,Geelong,30,Collingwood,45,Victoria Park,GE,CO,15,0,-15,L,VIC
125,1898,R16,reg_season,South Melbourne,24,Essendon,41,Lake Oval,SM,ES,-17,1,-17,L,VIC
125,1898,R16,reg_season,Essendon,41,South Melbourne,24,Lake Oval,ES,SM,-17,0,17,W,VIC
126,1898,R16,reg_season,St Kilda,17,Melbourne,38,Junction Oval,SK,ME,-21,1,-21,L,VIC
126,1898,R16,reg_season,Melbourne,38,St Kilda,17,Junction Oval,ME,SK,-21,0,21,W,VIC
127,1898,R17,reg_season,South Melbourne,47,Carlton,22,Lake Oval,SM,CA,25,1,25,W,VIC
127,1898,R17,reg_season,Carlton,22,South Melbourne,47,Lake Oval,CA,SM,25,0,-25,L,VIC
